ID	title	article_snippet	rating	scientific_claim	annotator_1	annotator_2	annotator_3
122653045997905671927713471889615536378	US Treasury deputy sec warns that shortages likely to continue until EVERYONE is jabbed	US Treasury deputy sec warns that shortages likely to continue until EVERYONE is jabbed The deputy secretary at the US Treasury has said that the only way to end the plague of empty shelves and high prices around the country is for every person in the world to be vaccinated.  In an interview to ABC on Thursday, Wally Adeyemo, the Biden administration’s second-highest official in the Treasury Department, has commented on the ongoing shortages of consumer goods that have led many to mock the president as ‘Emp	Partially false	False	0	1	0
275389285957305997321446227088442471741	CNN Praises Taliban For Wearing Masks During Attack	"CNN Praises Taliban For Wearing Masks During Attack KABUL—Approximately twelve minutes after U.S. troops withdrew from Afghanistan, Taliban fighters have completely taken over the entire country.  ""Woah, that's a bummer,"" said the Biden Administration's foreign policy team. ""We didn't see that one coming.""  As the Taliban began its campaign of shooting and killing, as is their time-honored tradition, CNN anchors gushed with praise after noticing all the Taliban fighters were responsibly wearing masks to pro"	Other	False	0	0	0
333248764296609831067233855420575814716	Tennessee Has Just LEGALIZED Government COVID Kidnappings! – The Daily Allegiant	Tennessee Has Just LEGALIZED Government COVID Kidnappings! – The Daily Allegiant The vast majority of (oblivious) Americans have dismissed all this as a “conspiracy theory,” and now they’re shocked and frightened by the realization that covid internment camps are being actively deployed across America.  On Friday, Tennessee Gov. Bill Lee signed Executive Order 83, which authorizes National Guard and State Guard troops to break into peoples’ homes, kidnap them at gunpoint, and take them to covid internment c	FALSE	False	0	0	0
264019763253447756851916399533799891538	MEDICAL SHOCKER: Scientists at Sloan Kettering discover mRNA inactivates tumor-suppressing proteins, meaning it can promote cancer	MEDICAL SHOCKER: Scientists at Sloan Kettering discover mRNA inactivates tumor-suppressing proteins, meaning it can promote cancer (Natural News) There’s a secret layer of information in your cells called messenger RNA, that’s located between DNA and proteins, that serves as a critical link. Now, in a medical shocker to the whole world of vaccine philosophy, scientists at Sloan Kettering found that mRNA itself carries cancer CAUSING changes – changes that genetic tests don’t even analyze, flying completely	FALSE	True	1	1	1
158073737187690682830899773280916034317	Study Results: Facemasks are Ineffective to Block Transmission of COVID-19 and Actually Can Cause Health Deterioration and Premature Death	Study Results: Facemasks are Ineffective to Block Transmission of COVID-19 and Actually Can Cause Health Deterioration and Premature Death A recent study reported by the NCBI, which is under the National Institutes of Health, showed that masks do absolutely nothing to help prevent the spread of COVID-19 and their use is even harmful.  NIH published a medical hypothesis by Dr. Baruch Vainshelboim.  NOQ Report uncovered the study:  …a DuckDuckGo search reveals it [the study] was picked up by ZERO mainstream m	FALSE	True	1	1	1
104668593793347563618573389721561849271	How to Neutralize Potential Damage from mRNA Vaccines	How to Neutralize Potential Damage from mRNA Vaccines TTAV is experiencing heavy censorship on many social media channels since we’ve been targeted by the mainstream media sellouts, social media bullies, and political turncoats. Be sure to get the TRUTH by subscribing to our email list. It’s free.  With the current irrational push to vaccinate the planet against COVID-19, a virus that has a 99.9% recovery rate, we feel it is important to discuss practical ways to “detox” and “neutralize” damage that is bein	FALSE	True	1	1	1
285745438442578180936789861954628585938	CDC Quietly Admits The Death Toll From COVID Vaccines Is Greater Than Every Vaccine In The Last 20 Years COMBINED	CDC Quietly Admits The Death Toll From COVID Vaccines Is Greater Than Every Vaccine In The Last 20 Years COMBINED Are you one of those people hesitant to receive a COVID-19 vaccine? You know, one of those “dangerous” and “selfish” people, as the Democrats would call you, who is foolish for not getting the jab because, after all, it’s completely safe?  Well, the CDC has quietly released data that might prove you’re not that foolish after all.  The Center for Disease Control and Prevention (CDC) posted data w	FALSE	True	1	1	0
142500044244587305036676237978793639344	EXCLUSIVE: Per the CDC There Are Nearly Twice As Many Vaccine Related Deaths SO FAR in 2021 (1,755) Than All the Vaccine Deaths this Past Decade (994)	EXCLUSIVE: Per the CDC There Are Nearly Twice As Many Vaccine Related Deaths SO FAR in 2021 (1,755) Than All the Vaccine Deaths this Past Decade (994) There are more US deaths related to vaccines in 2021 in less than 3 months than there were the entire past decade.  The number of deaths related to vaccines this year has absolutely skyrocketed. According to the CDC’s own data, in 2021 in less than 3 months, we have already seen over 1,750 deaths due to vaccines in the US.  This data comes from the CDC’s VAER	Partially false	True	1	1	1
240988184127263059916419185466606679317	Fully vaccinated people have a 885% higher chance of death due to Covid-19 than people who are unvaccinated according to official data	Fully vaccinated people have a 885% higher chance of death due to Covid-19 than people who are unvaccinated according to official data The Delta Covid-19 variant is currently rampant in the United Kingdom according to official data which has been released by Public Health England (PHE) in an attempt to justify the continuation of draconian restrictions on the lives of the British people.  However, we wonder if they realise that the very same data PHE released shows us that people who have received two doses	FALSE	True	1	1	1
212759982338406281914383909445151155412	CDC confesses: Vaccines are failing, the vaxxed can be super-spreaders, demands return to mask mandates for everyone, including the vaxxed	CDC confesses: Vaccines are failing, the vaxxed can be super-spreaders, demands return to mask mandates for everyone, including the vaxxed (Natural News) Via the words of the CDC’s own director Dr. Rochelle Walensky, the official narrative on vaccines and covid has just self-destructed. While in March of this year, Walenksy had publicly promised that vaccinated people could not spread the virus and infect others, this week she publicly stated that vaccines are failing, and that vaccinated people may now car	FALSE	True	1	1	1
